col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
38,14086,82,680,0.6,72983.7,29.4,41853,0,COSMIC
39,14318,85,1921,1.1,72983.7,29.4,5474,0,COSMIC
42,14701,140,3144,1.9,72984.7,29.4,5489,0,COSMIC
43,15231,80,1557,0.9,72982.0,29.4,41814,0,COSMIC
44,15858,79,881,0.6,72984.7,29.4,41862,0,COSMIC
45,16323,78,1075,0.7,72982.0,29.4,41764,0,COSMIC
46,16575,81,1117,0.7,72985.8,29.4,41777,0,COSMIC
47,16629,92,2357,1.3,72985.8,29.4,13016,0,COSMIC
48,16654,261,3846,3.2,72985.8,29.4,5425,0,COSMIC
49,16745,83,1903,1.0,72985.8,29.4,5421,0,COSMIC
50,16842,109,2817,1.5,72985.8,29.4,5363,0,COSMIC
51,17112,89,2085,1.1,72985.2,29.4,41798,0,COSMIC
52,18632,82,1540,0.9,72985.8,29.4,113833,0,COSMIC
53,19054,79,1388,0.8,72986.2,29.4,41955,0,COSMIC
54,19299,80,1186,0.8,72986.2,29.4,5558,0,COSMIC
55,19328,81,1317,0.8,72986.2,29.4,5414,0,COSMIC
56,19387,307,4062,3.8,72986.2,29.4,5380,0,COSMIC
57,19442,80,824,0.6,72986.2,29.4,5395,0,COSMIC
58,19829,197,3510,2.5,72988.4,29.4,41751,0,COSMIC
59,20136,90,2073,1.1,72987.9,29.4,41837,0,COSMIC
60,20495,362,4095,4.4,72987.9,29.4,5560,0,COSMIC
61,20937,78,1232,0.8,72990.6,29.4,41787,0,COSMIC
62,20982,135,3260,1.9,72990.6,29.4,5528,0,COSMIC
63,21112,81,796,0.6,72993.2,29.4,41681,0,COSMIC
64,21385,77,1229,0.8,72993.2,29.4,5499,0,COSMIC
65,21549,86,2118,1.1,72993.2,29.4,41618,0,COSMIC
66,22149,89,2155,1.2,72991.1,29.4,41786,0,COSMIC
67,22249,80,712,0.6,72991.1,29.4,5521,0,COSMIC
68,22891,101,2460,1.4,72990.6,29.4,41716,0,COSMIC
69,22953,78,814,0.6,72990.6,29.4,5536,0,COSMIC
70,23474,83,1859,1.0,72985.2,29.4,41709,0,COSMIC
71,23627,119,2920,1.7,72982.6,29.4,41740,0,COSMIC
72,23641,165,3427,2.2,72982.6,29.4,5540,0,COSMIC
73,23831,116,3189,1.7,72982.6,29.4,5398,0,COSMIC
74,24900,80,1227,0.8,72985.2,29.4,77558,0,COSMIC
75,25209,77,670,0.6,72988.4,29.4,41800,0,COSMIC
76,25565,86,2122,1.1,72988.9,29.4,41682,0,COSMIC
77,25791,88,2093,1.1,72988.9,29.4,5559,0,COSMIC
78,25873,81,817,0.6,72988.9,29.4,5418,0,COSMIC
79,25905,82,1612,0.9,72988.9,29.4,5413,0,COSMIC
80,26200,82,1796,1.0,72986.2,29.4,41705,0,COSMIC
81,26460,82,676,0.6,72986.2,29.4,5508,0,COSMIC
82,26545,81,1671,0.9,72983.6,29.4,41640,0,COSMIC
83,26647,108,2740,1.5,72983.6,29.4,5569,0,COSMIC
84,26997,78,1340,0.8,72983.6,29.4,5393,0,COSMIC
85,27167,235,3683,2.9,72986.2,29.4,41775,0,COSMIC
86,27300,85,2004,1.1,72986.2,29.4,5511,0,COSMIC
87,27675,82,637,0.6,72986.8,29.4,41723,0,COSMIC
88,27692,2217,4095,228.5,72986.8,29.4,5720,0,COSMIC
89,27818,78,1085,0.7,72986.8,29.4,5358,0,COSMIC
90,27932,77,1348,0.8,72986.8,29.4,5391,0,COSMIC
91,28598,77,1143,0.7,72992.1,29.4,77689,0,COSMIC
92,28972,77,650,0.5,72992.1,29.4,5491,0,COSMIC
93,29434,83,1438,0.9,72988.9,29.4,41709,0,COSMIC
94,29762,82,1872,1.0,72988.9,29.4,41772,0,COSMIC
95,30780,92,2137,1.2,72989.4,29.4,77865,0,COSMIC
96,30866,81,1246,0.8,72989.4,29.4,5573,0,COSMIC
97,31831,82,1321,0.8,72998.0,29.4,77755,0,COSMIC
98,32137,81,1056,0.7,72994.8,29.4,41853,0,COSMIC
99,32201,378,2980,3.7,72994.8,29.4,5571,0,COSMIC
100,32394,113,3241,1.7,72994.8,29.4,5434,0,COSMIC
101,32750,77,641,0.5,72994.8,29.4,41618,0,COSMIC
102,33165,77,602,0.5,72991.6,29.4,41735,0,COSMIC
103,33857,79,1300,0.8,72988.9,29.4,41751,0,COSMIC
